,result_path,test_BLEU,test_sacreBLEU,dev_BLEU,dev_ACC,transformer,eye,pre_learn,unit_init,weight_tie,weight_act,act_type,alpha,attention,reverse
0,en_de_dot_tie_5000,13.38,17.466697260064343,22.07668786186046,0.6682848334312439,seq2seq,0,0,False,True,False,,5,True,True
1,en_de_dot_linear_1eye_5000,13.5,17.478835626650703,21.801800106009132,0.6803579330444336,seq2seq,1,0,False,False,False,,5,True,True
2,en_de_dot_softmax_linear_2eye_random_5000,13.68,17.718611571357705,22.60137861696167,0.6808289289474487,seq2seq,2,0,True,False,False,,5,True,True
3,en_de_lstm_tie_5000,3.65,5.102120214704639,8.779702003282617,0.5160807967185974,seq2seq,2,0,False,True,False,,5,False,True
4,en_de_dot_linear_1eye_random_5000,13.43,17.51024630890408,22.740803953255973,0.678800106048584,seq2seq,1,0,True,False,False,,5,True,True
5,en_de_2eye_tie_softmax_5000,13.01,17.048151462499913,21.820131175550355,0.6681580543518066,seq2seq,2,0,False,True,True,softmax,5,True,True
6,en_de_dot_reverse_dropout_50000,0.0,0.0713145026616319,0.22583796686645827,0.06497541069984436,seq2seq,0,0,False,False,False,,5,True,True
7,en_de_dot_softmax_linear_2eye_5000,13.48,17.529698130928573,22.191279513431386,0.6776951551437378,seq2seq,2,0,False,False,True,softmax,5,True,True
8,en_de_lstm_base_reverse_dropout_50000,0.0,0.10518231150998288,0.24067717555480084,0.06532863527536392,seq2seq,2,0,False,False,False,,5,False,True
9,en_de_linear_2eye_5000,13.48,17.62521784691712,22.308445474256935,0.679914116859436,seq2seq,2,0,False,False,False,,5,True,True
10,en_de_2eye_tie_5000,13.05,17.18998787036499,21.319129407923583,0.6694713234901428,seq2seq,2,0,False,True,False,,5,True,True
11,en_de_dot_reverse_dropout_5000,13.36,17.370164865691503,22.941593483004993,0.678718626499176,seq2seq,0,0,False,False,False,,5,True,True
12,en_de_dot_adam_5000,12.68,16.567915316637038,22.040448537572914,0.6756029725074768,seq2seq,0,0,False,False,False,,5,True,True
13,en_de_dot_linear_1eye_50000,0.0,0.09150162614454839,0.259164834494349,0.06403347849845886,seq2seq,1,0,False,False,False,,5,True,True
14,en_de_linear_2eye_warmup5_5000,13.67,17.863693893873535,22.704518850030343,0.6806477904319763,seq2seq,2,5,False,False,False,,5,True,True
15,en_de_lstm_base_reverse_dropout_5000,4.26,5.879670907696789,9.821979953508581,0.5442573428153992,seq2seq,2,0,False,False,False,,5,False,True
16,en_de_2eye_relu_5000,13.51,17.67581730763791,21.876067126412728,0.6801767945289612,seq2seq,2,0,False,False,True,relu,5,True,True
17,en_de_2eye_leakyrelu_5000,13.53,17.553014606939048,22.611343307187063,0.6800590753555298,seq2seq,2,0,False,False,True,leakyrelu,5,True,True
18,en_de_linear_2eye_warmup3_5000,13.63,17.82366088505846,21.99223223079639,0.6827670931816101,seq2seq,2,3,False,False,False,,5,True,True
19,en_de_lstm_adam_5000,5.43,7.359751728281311,12.033295592144263,0.5694813132286072,seq2seq,2,0,False,False,False,,5,False,True
